subject_code,subject_name,parent_code,parent_name,level,root_code,segment_count,is_leaf,path_codes
1002,银行存款,,,1,1002,1,false,"[""1002""]"
1002.01,托管账户,1002,银行存款,2,1002,2,false,"[""1002"",""1002.01""]"
1002.51,托管账户-应计利息,1002,银行存款,2,1002,2,false,"[""1002"",""1002.51""]"
1002.01.003,中国农业银行,1002.01,托管账户,3,1002,3,false,"[""1002"",""1002.01"",""1002.01.003""]"
1002.51.003,中国农业银行,1002.51,托管账户-应计利息,3,1002,3,false,"[""1002"",""1002.51"",""1002.51.003""]"
1002.01.003.000001,创金合信嘉乾 3 号集合资产管理计划,1002.01.003,中国农业银行,4,1002,4,true,"[""1002"",""1002.01"",""1002.01.003"",""1002.01.003.000001""]"
1002.51.003.000001,创金合信嘉乾 3 号集合资产管理计划,1002.51.003,中国农业银行,4,1002,4,true,"[""1002"",""1002.51"",""1002.51.003"",""1002.51.003.000001""]"
1021,结算备付金,,,1,1021,1,false,"[""1021""]"
1021.01,上海最低清算备付金,1021,结算备付金,2,1021,2,true,"[""1021"",""1021.01""]"
1021.51,上海最低清算备付金-应计利息,1021,结算备付金,2,1021,2,true,"[""1021"",""1021.51""]"
1105,交易性基金投资,,,1,1105,1,false,"[""1105""]"
1105.F1,场外开放式基金,1105,交易性基金投资,2,1105,2,false,"[""1105"",""1105.F1""]"
1105.F2,场外LOF基金,1105,交易性基金投资,2,1105,2,false,"[""1105"",""1105.F2""]"
1105.F1.01,成本,1105.F1,场外开放式基金,3,1105,3,false,"[""1105"",""1105.F1"",""1105.F1.01""]"
1105.F1.99,估值增值,1105.F1,场外开放式基金,3,1105,3,false,"[""1105"",""1105.F1"",""1105.F1.99""]"
1105.F2.01,成本,1105.F2,场外LOF基金,3,1105,3,false,"[""1105"",""1105.F2"",""1105.F2.01""]"
1105.F2.99,估值增值,1105.F2,场外LOF基金,3,1105,3,false,"[""1105"",""1105.F2"",""1105.F2.99""]"
1105.F1.01.000628,大成高新技术产业股票A,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.000628""]"
1105.F1.01.001667,南方转型增长灵活配置混合A,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.001667""]"
1105.F1.01.002910,易方达供给改革混合,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.002910""]"
1105.F1.01.004317,前海开源沪港深裕鑫C,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.004317""]"
1105.F1.01.004475,华泰柏瑞富利混合A,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.004475""]"
1105.F1.01.004814,中欧红利优享灵活配置混合A,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.004814""]"
1105.F1.01.005094,万家臻选混合,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.005094""]"
1105.F1.01.008269,大成睿享混合A,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.008269""]"
1105.F1.01.010761,华商甄选回报混合A,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.010761""]"
1105.F1.01.011066,大成高新技术产业股票C,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.011066""]"
1105.F1.01.017167,景顺长城策略精选灵活配置混合C,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.017167""]"
1105.F1.01.166020,中欧成长优选回报灵活配置混合型发起式,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.166020""]"
1105.F1.01.166301,华商新趋势优选混合,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.166301""]"
1105.F1.01.483003,工银精选平衡混合,1105.F1.01,成本,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.01"",""1105.F1.01.483003""]"
1105.F1.99.000628,大成高新技术产业股票A,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.000628""]"
1105.F1.99.001667,南方转型增长灵活配置混合A,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.001667""]"
1105.F1.99.002910,易方达供给改革混合,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.002910""]"
1105.F1.99.004317,前海开源沪港深裕鑫C,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.004317""]"
1105.F1.99.004475,华泰柏瑞富利混合A,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.004475""]"
1105.F1.99.004814,中欧红利优享灵活配置混合A,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.004814""]"
1105.F1.99.005094,万家臻选混合,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.005094""]"
1105.F1.99.008269,大成睿享混合A,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.008269""]"
1105.F1.99.010761,华商甄选回报混合A,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.010761""]"
1105.F1.99.011066,大成高新技术产业股票C,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.011066""]"
1105.F1.99.017167,景顺长城策略精选灵活配置混合C,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.017167""]"
1105.F1.99.166020,中欧成长优选混合A,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.166020""]"
1105.F1.99.166301,华商新趋势优选混合,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.166301""]"
1105.F1.99.483003,工银精选平衡混合,1105.F1.99,估值增值,4,1105,4,true,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.483003""]"
1105.F2.01.161222,国投瑞利,1105.F2.01,成本,4,1105,4,true,"[""1105"",""1105.F2"",""1105.F2.01"",""1105.F2.01.161222""]"
1105.F2.99.161222,国投瑞利,1105.F2.99,估值增值,4,1105,4,true,"[""1105"",""1105.F2"",""1105.F2.99"",""1105.F2.99.161222""]"
2206,应付管理人报酬,,,1,2206,1,false,"[""2206""]"
2206.01,应付基金管理费,2206,应付管理人报酬,2,2206,2,false,"[""2206"",""2206.01""]"
2206.01.3M2273,应付基金管理费,2206.01,应付基金管理费,3,2206,3,true,"[""2206"",""2206.01"",""2206.01.3M2273""]"
2207,应付托管费,,,1,2207,1,false,"[""2207""]"
2207.01,应付托管费,2207,应付托管费,2,2207,2,false,"[""2207"",""2207.01""]"
2207.01.3M2273,应付托管费,2207.01,应付托管费,3,2207,3,true,"[""2207"",""2207.01"",""2207.01.3M2273""]"
2209,应付交易费用,,,1,2209,1,false,"[""2209""]"
2209.01,应付佣金,2209,应付交易费用,2,2209,2,false,"[""2209"",""2209.01""]"
2209.01.29,国泰君安证券,2209.01,应付佣金,3,2209,3,false,"[""2209"",""2209.01"",""2209.01.29""]"
2209.01.29.37450,37450,2209.01.29,国泰君安证券,4,2209,4,true,"[""2209"",""2209.01"",""2209.01.29"",""2209.01.29.37450""]"
2501,预提费用,,,1,2501,1,false,"[""2501""]"
2501.01,审计费用,2501,预提费用,2,2501,2,true,"[""2501"",""2501.01""]"
